x, y
-0.8117977528089888, 0.26268656716417915
-0.9325842696629214, 0.16119402985074638
-0.6741573033707865, 0.272636815920398
-0.5589887640449438, 0.272636815920398
-0.43258426966292135, 0.2348258706467662
-0.3089887640449438, 0.3522388059701492
-0.18820224719101125, 0.24278606965174132
-0.0561797752808989, 0.8019900497512438
0.0702247191011236, 1.2417910447761193
0.1825842696629213, 0.7920398009950249
0.3146067415730337, 0.7422885572139304
0.4353932584269663, 0.6646766169154229
0.5617977528089888, 0.46766169154228854
0.693820224719101, 0.3920398009950249
0.8258426966292134, 0.48756218905472637
0.9353932584269662, 0.6049751243781094
